RUBY,DEFAULTQ
とうきょうとっきょきょかきょくきょくちょう,東京特許許可局局長
さんふらんしすこへいわじょうやく,サンフランシスコ平和条約
しゃかいかのせんせい,社会科の先生
ゆめあるすべてのひとをおうえんしたい,夢あるすべての人を応援したい
ねんれいやかんきょうにとらわれない,年齢や環境にとらわれない
あきらめないこころがかんじん,諦めない心が肝心
かんたんにはごうかくできない,簡単には合格できない
とうきょうはとてもひとがおおい,東京はとても人が多い
たいぴんぐがはやいひとはかっこいい,タイピングが速い人はかっこいい
こうしきびじゅあるがいど,公式ビジュアルガイド
はやくきかいをなおしてください,早く機械を直してください
ばぐだらけのげーむはいやだ,バグだらけのゲームは嫌だ
くりーぱーはちかづくとばくはつする,クリーパーは近づくと爆発する
えんだーまんとめをあわせてはいけない,エンダーマンと目を合わせてはいけない
ひつじのけをかってようもうをてにいれる,羊の毛を刈って羊毛を手に入れる
えんちゃんとがつけれない,エンチャントがつけれない
どうくつたんけんにしゅっぱつだ,洞窟探検に出発だ
あいてむをまぐまにおとしてしまった,アイテムをマグマに落としてしまった
ならくのそこにおちてしまった,奈落の底に落ちてしまった
じょうしにめーるをうとう,上司にメールを打とう
わんくりっくさぎにきをつけよう,ワンクリック詐欺に気をつけよう
じさくぱそこんをくみたてる,自作パソコンを組み立てる
